0; -0.001950; 0.107810; 0.000000; 0.108000; 0.001950; 0.000190; 0.000000; 0.000000; 0.000000; 0.000000; 7.020000; -388.115997;
3; -0.001950; 0.107811; -0.000942; 0.108009; 0.001008; 0.000198; 0.000000; 0.000000; 0.000000; 0.000000; 34.027069; -3.397312;
6; -0.001950; 0.107811; -0.001885; 0.108036; 0.000066; 0.000225; 6.690770; 3.619317; 9.308105; 6.240601; 37.361233; -4.201957;
9; -0.001953; 0.107851; -0.002826; 0.108080; -0.000873; 0.000229; 8.628531; 7.661075; 9.079102; 5.544922; 40.408913; -1.561255;
12; -0.001974; 0.108065; -0.003766; 0.108142; -0.001792; 0.000077; 8.181549; 5.884229; 8.711792; 4.430054; 42.766796; 5.599216;
15; -0.002012; 0.108334; -0.004705; 0.108222; -0.002693; -0.000112; 7.840774; 2.451360; 8.382202; -0.309265; 45.264076; 5.041176;
18; -0.002082; 0.108561; -0.005643; 0.108319; -0.003561; -0.000241; 7.638957; 0.262400; 8.222656; 1.507202; 46.500244; 4.033276;
21; -0.002156; 0.108711; -0.006578; 0.108435; -0.004422; -0.000276; 7.571580; 2.087119; 8.175140; 1.930908; 48.040371; 4.767103;
24; -0.002357; 0.109091; -0.007511; 0.108567; -0.005154; -0.000524; 7.514630; 2.980853; 8.148220; 2.384766; 47.987076; 10.406982;
27; -0.002576; 0.109480; -0.008442; 0.108718; -0.005866; -0.000762; 7.503357; 1.278875; 8.156206; -0.396912; 47.240738; 15.110948;
30; -0.002857; 0.109919; -0.009369; 0.108886; -0.006512; -0.001034; 7.500578; -1.581663; 8.168001; -1.925232; 46.183823; 18.106361;
33; -0.003214; 0.110419; -0.010293; 0.109071; -0.007079; -0.001348; 7.498686; -3.019778; 8.185528; -3.032715; 43.856083; 21.236843;
36; -0.003649; 0.110974; -0.011214; 0.109274; -0.007564; -0.001701; 7.500153; -4.669435; 8.201513; -4.774292; 41.371552; 23.253002;
39; -0.004165; 0.111575; -0.012130; 0.109494; -0.007965; -0.002082; 7.498903; -6.434992; 8.219007; -5.863892; 38.000282; 25.520597;
42; -0.004563; 0.112005; -0.013042; 0.109731; -0.008479; -0.002274; 2.656547; -8.213969; 3.872803; -6.402344; 35.828369; 26.978268;
45; -0.005488; 0.112891; -0.013950; 0.109985; -0.008462; -0.002905; -3.002010; -8.023712; -2.707520; -6.502075; 29.627728; 29.045689;
48; -0.006252; 0.113466; -0.014852; 0.110257; -0.008600; -0.003209; -7.838201; -7.651551; -9.806152; -6.506104; 27.121555; 25.925884;
51; -0.006796; 0.113823; -0.015749; 0.110545; -0.008953; -0.003278; -8.807108; -7.591455; -9.456055; -6.439148; 25.516514; 25.520813;
54; -0.007953; 0.114514; -0.016641; 0.110850; -0.008688; -0.003663; -8.273267; -7.526391; -8.570801; -6.377155; 21.673523; 24.082092;
57; -0.008852; 0.114994; -0.017527; 0.111173; -0.008674; -0.003821; -7.858199; -7.519191; -8.186951; -6.356071; 19.798998; 22.373087;
60; -0.009769; 0.115466; -0.018406; 0.111511; -0.008637; -0.003955; -7.638278; -7.503399; -8.012695; -6.355856; 19.426987; 19.317654;
63; -0.010666; 0.115865; -0.019279; 0.111866; -0.008613; -0.003999; -7.547467; -7.502836; -7.950623; -6.352206; 20.587822; 13.518158;
66; -0.011539; 0.116189; -0.020145; 0.112238; -0.008606; -0.003951; -6.850001; -7.500579; -7.012360; -6.352437; 22.387215; 7.594881;
69; -0.012366; 0.116408; -0.021004; 0.112626; -0.008638; -0.003783; -4.060863; -7.500642; -3.445801; -6.350709; 25.695608; 0.505104;
72; -0.013157; 0.116543; -0.021856; 0.113030; -0.008698; -0.003513; 2.437759; -7.500020; 4.478516; -6.350526; 28.314207; -4.472858;
75; -0.013937; 0.116650; -0.022700; 0.113450; -0.008763; -0.003200; 8.249628; -7.499973; 10.131348; -6.350198; 30.157444; -7.178679;
78; -0.014462; 0.116724; -0.023535; 0.113885; -0.009073; -0.002839; 8.943636; -7.498844; 9.807129; -6.351792; 32.308571; -9.545706;
81; -0.015562; 0.116870; -0.024363; 0.114337; -0.008800; -0.002533; 8.294509; -7.496755; 8.909058; -6.362864; 30.626431; -12.877173;
84; -0.016431; 0.116903; -0.025181; 0.114804; -0.008750; -0.002099; 6.779560; -6.918328; 7.018188; -5.383133; 30.022989; -19.589476;
87; -0.017363; 0.116853; -0.025991; 0.115286; -0.008628; -0.001567; 6.935763; -3.324455; 7.849625; -0.427612; 27.039246; -25.182114;
90; -0.018368; 0.116793; -0.026791; 0.115784; -0.008423; -0.001009; 7.506928; 1.725809; 8.371307; 2.336426; 22.774128; -26.317614;
93; -0.019449; 0.116809; -0.027582; 0.116296; -0.008133; -0.000513; 7.595057; 3.112288; 8.363739; 2.156494; 16.638496; -24.870535;
